,angry,disgust,fear,happy,neutral,sad,surprise
angry,471,126,43,36,193,67,24
disgust,9,94,2,0,4,0,2
fear,169,59,272,44,165,167,142
happy,60,30,24,1480,125,41,65
neutral,62,37,38,74,867,107,31
sad,110,82,75,55,340,449,28
surprise,24,12,51,29,44,6,631
