,angry,disgust,fear,happy,neutral,sad,surprise
angry,521,9,57,42,178,132,21
disgust,45,30,15,4,6,7,4
fear,159,1,310,59,158,222,109
happy,52,0,36,1542,107,60,28
neutral,59,1,29,100,856,147,24
sad,131,5,78,66,273,570,16
surprise,23,0,69,64,35,9,597
